pattern,meaning,title,explanation,category,example_sentence,example_translation
～ことだ,Để giữ gìn sức khỏe cần phải ngủ đủ giấc và không dồn nén stress.,N3,"""Cấu trúc này được dùng để đưa ra lời khuyên, nhắc nhở hoặc mệnh lệnh nhẹ nhàng từ người có kinh nghiệm. Thường diễn tả những điều """"nên làm"""" hoặc """"không nên làm"""" trong một tình huống cụ thể. Cách nói này có tính chất nhắc nhở hơn là ra lệnh.""",jlpt_grammar,,
default,"""#文型 #助言 #忠告 #提案 #N3 #文法""",[sound:J2TEAM-TTS-1747311410464.mp3],,jlpt_grammar,,
～ことだ,健康のためには十分睡眠をとり、ストレスをためないことだ。(Để giữ gìn sức khỏe cần phải ngủ đủ giấc và không dồn nén stress.),N3,"""Cấu trúc """"～ことだ"""" được sử dụng để đưa ra {{c1::lời khuyên}} hoặc {{c1::mệnh lệnh nhẹ nhàng}} từ người có kinh nghiệm. Cấu trúc này mang tính {{c2::nhắc nhở}} hơn là ra lệnh trực tiếp. Thường được dùng trong các tình huống khi người nói muốn {{c3::đề xuất phương án tốt nhất}} hoặc {{c3::hướng dẫn cách giải quyết}} một vấn đề nào đó.""",jlpt_grammar,,
助言・アドバイスの文型,Các cấu trúc ngữ pháp diễn đạt lời khuyên và sự bắt buộc,N3,,jlpt_grammar,,
～さえ～ば/たら,Chỉ cần đường không bị tắc là chúng ta có thể đến nơi trong 10 phút rồi.,N3,"""Cấu trúc này diễn tả ý nghĩa """"chỉ cần"""" một điều kiện là đủ để điều gì đó xảy ra. Nó nhấn mạnh rằng điều kiện đề cập là điều kiện tối thiểu cần thiết, và những yếu tố khác không quan trọng hoặc không cần thiết.""",jlpt_grammar,,
default,"""#条件 #仮定 #十分条件 #可能性 #制限""",[sound:J2TEAM-TTS-1748153261035.mp3],,jlpt_grammar,,
～さえ～ば/たら,"この国では、まじめに働きさえすれば生活に困ることはない。(Ở nước này, chỉ cần làm việc chăm chỉ thì cuộc sống sẽ không có khó khăn.)",N3,"Cấu trúc này được sử dụng để diễn tả rằng {{c1::chỉ cần}} một điều kiện nào đó là {{c1::đủ}} để điều gì đó xảy ra. Nó nhấn mạnh rằng điều kiện được đề cập là {{c2::điều kiện tối thiểu}} cần thiết, và những yếu tố khác không quan trọng. Cấu trúc này thường xuất hiện trong các tình huống {{c3::đưa ra điều kiện đơn giản}} hoặc {{c3::giải pháp tối thiểu}} cho một vấn đề.",jlpt_grammar,,
条件を表す表現の比較 (So sánh các biểu thức điều kiện),So sánh các biểu thức điều kiện,N3,,jlpt_grammar,,
〜ながら(も),"Bọn trẻ dù cãi cọ nhau, thế nhưng về sau vẫn giúp tôi dọn dẹp.",N3,"""Cấu trúc 〜ながら(も) được dùng để diễn tả ý nghĩa ngược với sự việc nêu ở đằng trước, thường dịch là """"mặc dù, tuy nhiên, thế nhưng"""". Nó chỉ ra sự trái ngược hoặc mâu thuẫn giữa hai sự việc, mang ý nghĩa nhượng bộ tương tự như 〜けれども.""",jlpt_grammar,,
default,"""#助詞 #接続 #逆説 #譲歩 #対比 #形式名詞""",[sound:J2TEAM-TTS-1748152651130.mp3],,jlpt_grammar,,
〜ながら(も),"事情はよくわからないながら、何とかして助けてあげたいと思った。 (Tôi không nắm rõ tình hình, nhưng tôi vẫn muốn bằng cách nào đó giúp đỡ họ.)",N3,"Cấu trúc 〜ながら(も) được sử dụng để diễn tả {{c1::ý nghĩa trái ngược}} hoặc {{c1::mâu thuẫn}} giữa hai sự việc. Nó thể hiện rằng mặc dù có một điều kiện hay hoàn cảnh nào đó, nhưng {{c2::kết quả lại khác}} với những gì người ta thường mong đợi. Cấu trúc này mang tính {{c3::nhượng bộ}} tương tự như けれども nhưng cách dùng {{c3::trang trọng hơn}} và thường xuất hiện trong {{c2::văn viết}} hoặc {{c2::phát biểu chính thức}}.",jlpt_grammar,,
〜ながら(も)・〜のに・〜けれども・〜にもかかわらず,"Các cấu trúc diễn tả sự trái ngược, nhượng bộ",N3,,jlpt_grammar,,
我ながら,"Dù là món lần đầu tiên nấu, nhưng là tôi thì tôi thấy ngon.",N3,"我ながら là một cách dùng đặc biệt của ながら, dùng khi người nói tự đánh giá bản thân, có thể là khen ngợi hoặc chê bai chính mình. Biểu hiện này thường được dùng khi người nói nhận ra một điều gì đó về bản thân mà bản thân cũng ngạc nhiên.",jlpt_grammar,,
default,"""#慣用句 #感想 #自己評価 #謙遜 #表現 #感情""",,,jlpt_grammar,,
