word,reading,meaning,category,level,example_sentence
する,する,to do,Verbs,1,私は毎日勉強をします。
する,する,to do,Verbs,1,明日何をしますか？
する,する,to do,Verbs,1,この仕事は難しいですが、頑張ってします。
する,する,to do,Verbs,1,一緒に映画を見にしましょう。
する,する,to do,Verbs,1,毎週日曜日にスポーツをします。
する,する,to do,Verbs,1,何か手伝えることはありますか？します！
なる,なる,to become,Verbs,1,春になりました。
なる,なる,to become,Verbs,1,来年大人になります。
なる,なる,to become,Verbs,1,このプロジェクトは面白くなってきました。
なる,なる,to become,Verbs,1,雨が降りそうになっています。
なる,なる,to become,Verbs,1,毎日練習すれば上手になります。
いく,いく,to go,Verbs,1,毎日学校に行きます。
いく,いく,to go,Verbs,1,今週末、友達と遊びに行こう。
いく,いく,to go,Verbs,1,電車で東京に行きました。
いく,いく,to go,Verbs,1,明日の朝8時に出かけて行きます。
いく,いく,to go,Verbs,1,新しいレストランに食べに行きたいです。
いく,いく,to go,Verbs,1,時間が経つにつれ、状況は悪くなっていく。
くる,くる,to come,Verbs,1,友達が遊びに来ました。
くる,くる,to come,Verbs,1,明日の朝ですから、来てください。
くる,くる,to come,Verbs,1,毎週月曜日に先生が来ます。
くる,くる,to come,Verbs,1,季節が来たので、花が咲きます。
くる,くる,to come,Verbs,1,彼は走ってきたので、疲れている。
大事,だいじ,important,Adjective-na,2,家族は本当に大事です。
大事,だいじ,important,Adjective-na,2,この会議は大事ですから、必ず出席してください。
大事,だいじ,important,Adjective-na,2,健康を大事にしないといけません。
大事,だいじ,important,Adjective-na,2,両親が大事にしてくれた物です。
大事,だいじ,important,Adjective-na,2,時間は大事な資源です。
好き,すき,like,Adjective-na,1,私はコーヒーが好きです。
好き,すき,like,Adjective-na,1,兄は映画が好きで、毎週見ています。
好き,すき,like,Adjective-na,1,このお店は静かで好きです。
好き,すき,like,Adjective-na,1,青い色が好きなので、服をよく買います。
好き,すき,like,Adjective-na,1,彼女は私のことを好きだと言った。
好き,すき,like,Adjective-na,1,数学より英語の方が好きです。
好き,すき,like,Adjective-na,1,このゲームが好きで、毎日やっています。
