pattern,meaning,explanation,title,category,level,example_sentence,example_translation
〜ため,for the purpose of / in order to,使う場合がある,purpose and reason,Conditional,2,成功するため努力しています。,Tôi đang cố gắng để thành công.
〜のに,although / in spite of,逆説的意味,Conditional,Conditional,2,頑張ったのに失敗した。,Mặc dù tôi cố gắng nhưng vẫn thất bại.
〜とは,contrary to,予想や期待と異なる,Conditional,Conditional,2,予想とは違う結果になった。,Kết quả khác với dự kiến.
〜ばかりか,not only... but also,追加情報を加える,Addition,Addition,2,彼は賢いばかりか親切だ。,Anh ấy không chỉ thông minh mà còn tử tế nữa.
〜もさることながら,more than that... and moreover,追加の理由,Addition,Addition,2,成績も良いことながら、性格も良い。,Điểm số tốt mà người tốt nữa.
〜なら,if / if that is the case,条件を示す,Conditional,Conditional,1,雨なら明日は行きません。,Nếu mưa thì ngày mai tôi sẽ không đi.
〜ものなら,if one would dare to,強い仮定,Conditional,Conditional,2,そんなことものなら許さない。,Nếu ai dám làm việc như vậy tôi sẽ không tha thứ.
〜ても〜ても,whether...or / even if...even if...,選択肢を示す,Conditional,Conditional,2,雨でも晴れでも毎日走ります。,Dù mưa hay nắng tôi cũng chạy mỗi ngày.
〜たところ,just as / now that,時点を示す,Time,Time,2,来たところです。,Tôi vừa mới tới.
〜つつある,in the process of / is...ing,進行中の状態,Progressive,Progressive,2,人口が減少しつつあります。,Dân số đang giảm.
〜ようとする,about to / trying to,直前の状態,Time,Time,2,出かけようとしている。,Tôi sắp có việc ra ngoài.
〜かける,in the middle of / about to,進行中または途中,Progressive,Progressive,2,本を読みかけている。,Tôi đang đọc sách dở dang.
〜きる,can be able to do,能力や可能性,Ability,Ability,1,それはできます。,Có thể làm được điều đó.
〜わたる,throughout / across,範囲や期間を示す,Extent,Extent,2,3日にわたって会議が続いた。,Cuộc họp kéo dài suốt 3 ngày.
〜ぶり,for the first time in...,特定の時間経過,Time,Time,2,3年ぶりに会った。,Sau 3 năm chúng tôi gặp lại.
