word,reading,meaning,category,level,example_sentence
学ぶ,まなぶ,to learn,Verbs,2,
日本,にほん,Japan,Geography,1,
勉強,べんきょう,study,Nouns,2,
先生,せんせい,teacher,Nouns,1,
学校,がっこう,school,Nouns,1,
友達,ともだち,friend,Nouns,1,
家,いえ,house,Nouns,1,
食べる,たべる,to eat,Verbs,1,
飲む,のむ,to drink,Verbs,1,
読む,よむ,to read,Verbs,1,
大好き,だいすき,love,Adjectives,2,
美しい,うつくしい,beautiful,Adjectives,2,
高い,たかい,high/expensive,Adjectives,1,
安い,やすい,cheap,Adjectives,1,
寒い,さむい,cold,Adjectives,1,
暖かい,あたたかい,warm,Adjectives,2,
新しい,あたらしい,new,Adjectives,1,
古い,ふるい,old,Adjectives,1,
大きい,おおきい,big,Adjectives,1,
小さい,ちいさい,small,Adjectives,1,
明日,あした,tomorrow,Time,1,
今日,きょう,today,Time,1,
昨日,きのう,yesterday,Time,1,
朝,あさ,morning,Time,1,
昼,ひる,noon,Time,1,
夜,よる,night,Time,1,
月曜日,げつようび,Monday,Time,1,
火曜日,かようび,Tuesday,Time,1,
水曜日,すいようび,Wednesday,Time,1,
木曜日,もくようび,Thursday,Time,1,
金曜日,きんようび,Friday,Time,1,
土曜日,どようび,Saturday,Time,1,
日曜日,にちようび,Sunday,Time,1,
