word,reading,meaning,category,level,example_sentence
学ぶ,まなぶ,to learn,Verbs,2,私は毎日日本語を学んでいます。
日本,にほん,Japan,Geography,1,私は日本から来ました。
勉強,べんきょう,study,Nouns,2,明日試験があるので勉強しなければなりません。
先生,せんせい,teacher,Nouns,1,先生は親切に教えてくれました。
学校,がっこう,school,Nouns,1,毎朝7時に学校へ行きます。
友達,ともだち,friend,Nouns,1,週末に友達と遊びました。
家,いえ,house,Nouns,1,私の家は駅の近くです。
食べる,たべる,to eat,Verbs,1,朝食にパンを食べました。
飲む,のむ,to drink,Verbs,1,コーヒーを飲みながら本を読みました。
読む,よむ,to read,Verbs,1,毎晩新聞を読みます。
大好き,だいすき,love/like very much,Adjectives,2,私は日本文化が大好きです。
美しい,うつくしい,beautiful,Adjectives,2,このお寺は本当に美しいです。
高い,たかい,high/expensive,Adjectives,1,この建物は本当に高いです。
安い,やすい,cheap,Adjectives,1,このお店は野菜が安いです。
寒い,さむい,cold,Adjectives,1,冬は非常に寒いです。
暖かい,あたたかい,warm,Adjectives,2,春は暖かくなりました。
新しい,あたらしい,new,Adjectives,1,新しいパソコンを買いました。
古い,ふるい,old,Adjectives,1,この家は古いですが、とても素敵です。
大きい,おおきい,big,Adjectives,1,東京は大きい都市です。
小さい,ちいさい,small,Adjectives,1,この部屋は小さいので、狭いです。
明日,あした,tomorrow,Time,1,明日の会議は10時です。
今日,きょう,today,Time,1,今日は天気がいいですね。
昨日,きのう,yesterday,Time,1,昨日映画を見に行きました。
朝,あさ,morning,Time,1,毎朝6時に起きます。
昼,ひる,noon,Time,1,昼食は12時に食べます。
夜,よる,night,Time,1,夜遅くまで仕事をしました。
月曜日,げつようび,Monday,Time,1,月曜日は仕事が忙しいです。
火曜日,かようび,Tuesday,Time,1,火曜日に医者の予約があります。
水曜日,すいようび,Wednesday,Time,1,水曜日は定休日です。
木曜日,もくようび,Thursday,Time,1,木曜日は習い事があります。
金曜日,きんようび,Friday,Time,1,金曜日の夜は友達と遊びます。
土曜日,どようび,Saturday,Time,1,土曜日に買い物に行きます。
日曜日,にちようび,Sunday,Time,1,日曜日は家族と過ごします。
仕事,しごと,work/job,Nouns,1,毎日9時から仕事が始まります。
会社,かいしゃ,company,Nouns,1,私は大きな会社で働いています。
時間,じかん,time/hours,Nouns,1,1時間待ってください。
お金,おかね,money,Nouns,1,このプロジェクトにはお金がかかります。
病院,びょういん,hospital,Nouns,1,風邪で病院に行きました。
薬,くすり,medicine,Nouns,1,医者から薬をもらいました。
体,からだ,body,Nouns,1,毎日運動して体を健康に保ちます。
頭,あたま,head,Nouns,1,頭が痛いので薬を飲みました。
目,め,eye,Nouns,1,目をたくさん使うので疲れました。
耳,みみ,ear,Nouns,1,耳が悪いので補聴器が必要です。
好き,すき,like/favorite,Adjectives,1,私はこの音楽が好きです。
嫌い,きらい,dislike,Adjectives,2,苦い物は嫌いです。
楽しい,たのしい,fun/enjoyable,Adjectives,1,昨日の旅行は楽しかったです。
退屈,たいくつ,boredom/boring,Nouns,2,この映画は退屈だと思います。
疲れた,つかれた,tired,Adjectives,2,長い仕事の後は疲れました。
幸せ,しあわせ,happy,Nouns,2,結婚して幸せです。
悲しい,かなしい,sad,Adjectives,2,友達が引っ越すので悲しいです。
驚く,おどろく,to be surprised,Verbs,2,その結果に驚きました。
笑う,わらう,to laugh,Verbs,1,面白いジョークで笑いました。
泣く,なく,to cry,Verbs,1,悲しい映画を見て泣きました。
