word,reading,meaning,category,level,example_sentence,example_translation
する,する,to do,Verbs,1,私は毎日勉強をします。,Tôi học tập mỗi ngày.
する,する,to do,Verbs,1,明日何をしますか？,Ngày mai bạn sẽ làm gì?
する,する,to do,Verbs,1,この仕事は難しいですが、頑張ってします。,Công việc này khó nhưng tôi sẽ cố gắng.
する,する,to do,Verbs,1,一緒に映画を見にしましょう。,Hãy xem phim cùng nhau.
する,する,to do,Verbs,1,毎週日曜日にスポーツをします。,Tôi chơi thể thao mỗi chủ nhật.
する,する,to do,Verbs,1,何か手伝えることはありますか？します！,Có cái gì tôi có thể giúp không? Được thôi!
なる,なる,to become,Verbs,1,春になりました。,Mùa xuân đã tới.
なる,なる,to become,Verbs,1,来年大人になります。,Năm tới tôi sẽ trở thành người lớn.
なる,なる,to become,Verbs,1,このプロジェクトは面白くなってきました。,Dự án này trở nên thú vị hơn.
なる,なる,to become,Verbs,1,雨が降りそうになっています。,Có vẻ như sắp mưa.
なる,なる,to become,Verbs,1,毎日練習すれば上手になります。,Nếu bạn tập luyện hàng ngày, bạn sẽ giỏi hơn.
いく,いく,to go,Verbs,1,毎日学校に行きます。,Tôi đi học mỗi ngày.
いく,いく,to go,Verbs,1,今週末、友達と遊びに行こう。,Cuối tuần này, hãy đi chơi với bạn.
いく,いく,to go,Verbs,1,電車で東京に行きました。,Tôi đã đi Tokyo bằng tàu điện.
いく,いく,to go,Verbs,1,明日の朝8時に出かけて行きます。,Tôi sẽ khởi hành lúc 8 giờ sáng mai.
いく,いく,to go,Verbs,1,新しいレストランに食べに行きたいです。,Tôi muốn đi ăn ở nhà hàng mới.
いく,いく,to go,Verbs,1,時間が経つにつれ、状況は悪くなっていく。,Theo thời gian, tình hình ngày càng tệ hơn.
くる,くる,to come,Verbs,1,友達が遊びに来ました。,Bạn của tôi đã đến chơi.
くる,くる,to come,Verbs,1,明日の朝ですから、来てください。,Vì vậy, hãy đến vào sáng mai.
くる,くる,to come,Verbs,1,毎週月曜日に先生が来ます。,Giáo viên đến mỗi thứ hai.
くる,くる,to come,Verbs,1,季節が来たので、花が咲きます。,Vì mùa đã tới nên hoa nở.
くる,くる,to come,Verbs,1,彼は走ってきたので、疲れている。,Anh ấy chạy đến nên mệt.
大事,だいじ,important,Adjective-na,2,家族は本当に大事です。,Gia đình thực sự rất quan trọng.
大事,だいじ,important,Adjective-na,2,この会議は大事ですから、必ず出席してください。,Cuộc họp này rất quan trọng nên hãy chắc chắn tham dự.
大事,だいじ,important,Adjective-na,2,健康を大事にしないといけません。,Chúng ta phải chăm sóc sức khỏe.
大事,だいじ,important,Adjective-na,2,両親が大事にしてくれた物です。,Đây là vật mà cha mẹ của tôi yêu quý.
大事,だいじ,important,Adjective-na,2,時間は大事な資源です。,Thời gian là một tài nguyên quan trọng.
好き,すき,like,Adjective-na,1,私はコーヒーが好きです。,Tôi thích cà phê.
好き,すき,like,Adjective-na,1,兄は映画が好きで、毎週見ています。,Anh trai tôi thích phim và xem mỗi tuần.
好き,すき,like,Adjective-na,1,このお店は静かで好きです。,Tôi thích cửa hàng này vì nó yên tĩnh.
好き,すき,like,Adjective-na,1,青い色が好きなので、服をよく買います。,Vì tôi thích màu xanh nên tôi thường mua quần áo.
好き,すき,like,Adjective-na,1,彼女は私のことを好きだと言った。,Cô ấy nói rằng cô ấy yêu thích tôi.
好き,すき,like,Adjective-na,1,数学より英語の方が好きです。,Tôi thích tiếng Anh hơn toán học.
好き,すき,like,Adjective-na,1,このゲームが好きで、毎日やっています。,Tôi thích trò chơi này và chơi mỗi ngày.
