word,reading,meaning,category,part_of_speech,example_sentence,example_translation,kanji_breakdown,synonyms
人間,にんげん,"con người, nhân loại",shinkanzen,Danh từ,人間はみんな、平等である。,"Là con người, mọi người đều bình đẳng.","""人 (nhân) - người; 間 (gian) - khoảng, giữa. Hợp lại thành """"con người"""" - sinh vật sống trong khoảng giữa trời và đất.""",人間関係（にんげんかんけい）: quan hệ con người、人間性（にんげんせい）: tính người、人間らしい（にんげんらしい）: giống con người
"""人""",ひと,"người, con người",shinkanzen,Danh từ,「佐藤さんという人から電話がありましたよ」,Có cuộc điện thoại từ chị Satou đấy ạ.,人 (nhân) - một chữ kanji đơn thể biểu thị hình ảnh một người đang đứng. Là một trong những kanji cơ bản nhất.,若い人（わかいひと）: người trẻ、大人（おとな）: người lớn、知り合いの人（しりあいのひと）: người quen
祖先,そせん,"tổ tiên, tiền nhân",shinkanzen,Danh từ,人類の祖先は、アフリカで発生したと考えられている。,Tổ tiên của loài người phát triển từ Châu Phi.,"祖 (tổ) - tổ tiên, người sáng lập; 先 (tiên) - trước, phía trước. Kết hợp: những người đi trước, tiền nhân.",祖先崇拝（そせんすうはい）: sùng bái tổ tiên、先祖代々（せんぞだいだい）: nhiều đời tổ tiên、祖先返り（そせんがえり）: di truyền lùi
親戚,しんせき,"họ hàng, thân thích",shinkanzen,Danh từ,うちの親戚はみな近くで住んでいる。,Họ hàng nhà tôi đều sống gần đây.,"""親 (thân) - cha mẹ, thân thiết; 戚 (thích) - buồn rầu, người thân. Kết hợp thành """"người thân thích"""".""",親戚付き合い（しんせきづきあい）: quan hệ họ hàng、遠い親戚（とおいしんせき）: họ hàng xa、近い親戚（ちかいしんせき）: họ hàng gần
夫婦,ふうふ,vợ chồng,shinkanzen,Danh từ,小林さんは夫婦はいつも仲がいい。,Mối quan hệ của vợ chồng anh Kobayashi lúc nào cũng tốt.,"""夫 (phu) - chồng, đàn ông; 婦 (phụ) - vợ, phụ nữ đã kết hôn. Kết hợp thành """"vợ chồng"""".""",夫婦喧嘩（ふうふげんか）: vợ chồng cãi nhau、夫婦関係（ふうふかんけい）: quan hệ vợ chồng、夫婦愛（ふうふあい）: tình yêu vợ chồng
長男,ちょうなん,"con trai trưởng, trưởng nam",shinkanzen,Danh từ,日本では、長男は大事にされる傾向があった。,"Ở Nhật Bản, trưởng nam có khuynh hướng được coi trọng.","""長 (trường) - dài, trưởng; 男 (nam) - đàn ông, con trai. Kết hợp thành """"con trai trưởng"""".""",長男相続（ちょうなんそうぞく）: quyền thừa kế của con trai trưởng、末っ子（すえっこ）: con út、長女（ちょうじょ）: con gái trưởng
主人,しゅじん,"chồng, chủ tiệm, chủ nhân",shinkanzen,Danh từ,あのそばやの主人はまだ若いが、腕はいい。,Chủ cửa hàng mì Soba kia tuy còn trẻ nhưng tay nghề rất tốt.,"""主 (chủ) - chủ, chính; 人 (nhân) - người. Kết hợp thành """"chủ nhân"""".""",店の主人（みせのしゅじん）: chủ tiệm、女主人（おんなしゅじん）: nữ chủ nhân、主人公（しゅじんこう）: nhân vật chính
双子,ふたご,"sinh đôi, song sinh",shinkanzen,Danh từ,私には双子の弟がいます。,Tôi có người em sinh đôi.,"""双 (song) - đôi, cặp; 子 (tử) - con, trẻ em. Kết hợp thành """"sinh đôi"""".""",双子座（ふたござ）: cung Song Tử、一卵性双子（いちらんせいふたご）: sinh đôi cùng trứng、二卵性双子（にらんせいふたご）: sinh đôi khác trứng
迷子,まいご,"trẻ bị lạc, người bị lạc",shinkanzen,Danh từ,（アナウンス）「迷子のお知らせをいたします」,Thông báo tìm trẻ lạc.,"""迷 (mê) - lạc lối, bối rối; 子 (tử) - trẻ em. Kết hợp thành """"trẻ bị lạc"""".""",迷子センター（まいごセンター）: trung tâm trẻ lạc、迷子札（まいごふだ）: thẻ phòng lạc
他人,たにん,"người khác, người lạ",shinkanzen,Danh từ,友達だと思って声を掛けたら、全くの他人だった。,Tưởng bạn nên cất tiếng gọi nhưng là người lạ hoàn toàn.,"""他 (tha) - khác; 人 (nhân) - người. Kết hợp thành """"người khác"""".""",他人事（ひとごと）: chuyện người khác、赤の他人（あかのたにん）: người hoàn toàn không quen、全くの他人（まったくのたにん）: người hoàn toàn xa lạ
